"word","pinyin","pinyinf","category","meaning"
"挥汗如雨","hui1 han4 ru2 yu3","huī hàn rú yǔ","成語","滝のような汗をかく"
"回报","hui2 bao4","huí bào","動詞","報告する、応える、報復する"
"回归","hui2 gui1","huí guī","動詞","引き返す"
"回想","hui2 xiang3","huí xiǎng","動詞","思い出す、回想する"
"回心转意","hui2 xin1 zhuan3 yi4","huí xīn zhuǎn yì","成語","考え直す、思い直す、仲直りする"
"贿赂","hui4 lu4","huì lù","動詞","賄賂を送る、賄賂(名詞)"
"魂牵梦萦","hun2 qian1 meng4 ying2","hún qiān mèng yíng","成語","夢にまで見る、いつも気にかけている"
"混乱","hun4 luan4","hùn luàn","名詞","混乱"
"活跃","huo2 yue4","huó yuè","形容詞","活発である、活気がある"
"火势","huo3 shi4","huǒ shì","名詞","火の手、火の勢い"
"火灾","huo3 zai1","huǒ zāi","名詞","火事、火災"
"货币","huo4 bi4","huò bì","名詞","通貨"
"获得","huo4 de2","huò dé","動詞","獲得する、手に入れる"
"机构","ji1 gou4","jī gòu","名詞","組織、仕組み"
"鸡尾酒","ji1 wei3 jiu3","jī wěi jiŭ","名詞","カクテル"
"积极","ji1 ji2","jī jí","形容詞","積極的な"
"积极分子","ji1 ji2 fen1 zi3","jī jí fēn zǐ","名詞","積極的な人"
"基础","ji1 chu3","jī chǔ","名詞","基礎"
"基金","ji1 jin1","jī jī n","名詞","基金、ファンド"
"即将","ji2 jiang1","jí jiāng","副詞","もうすぐ、まもなく"
"即使","ji2 shi3","jí shǐ","連詞","たとえ〜でも"
"极目","ji2 mu4","jí mù","動詞","はるか遠くまで見る、見渡す限り～する"
"急迫","ji2 po4","jí pò","形容詞","差し迫っている"
"籍贯","ji2 guan4","jí guàn","名詞","原籍、本籍"
"忌食","ji4 shi2","jì shí","動詞","(体質や宗教上の理由で、ある特定の)食べ物を口にしない"
"技术","ji4 shu4","jì shù","名詞","技術"
"既－又－","ji4 you4","jì yòu ","その他","~だけでなく~も"
"继续","ji4 xu4","jì xù","動詞","継続する"
"祭祀","ji4 si4","jì sì","動詞","まつる"
"冀","ji4","jì","動詞","望む、希望する"
"家长里短","jia1 chang2 li3 duan3","jiā cháng lǐ duǎn","成語","世間話"
"家喻户晓","jia1 yu4 hu4 xiao3","jiā yù hù xiǎo","成語","どこの家でも知っている、誰でも承知している"
"甲肝","jia3 gan1","jiǎ gān","名詞","A型肝炎"
"假冒伪劣","jia3 mao4 wei3 lie4","jiǎ mào wěi liè","成語","(偽物で)本物を装う"
"尖锐","jian1 rui4","jiān ruì","形容詞","するどい"
"监督","jian1 du1","jiān dū","動詞","監督する"
"简便","jian3 bian4","jiǎn biàn","形容詞","簡便な、手軽で便利な"
